"year","spring.tot.precip","winter.tot.precip","summer.tot.precip","fall.tot.precip","spring.mean.min.temp","spring.mean.max.temp","spring.mean.temp","winter.mean.min.temp","winter.mean.max.temp","winter.mean.temp","summer.mean.min.temp","summer.mean.max.temp","summer.mean.temp","fall.mean.min.temp","fall.mean.max.temp","fall.mean.temp"
"2015",-0.181,-0.272,-0.199,-0.559,1.224,0.812,1.016,1.567,1.82,1.601,-0.053,1.137,0.824,0.232,0.473,0.356
"2016",0.657,2.099,-0.026,1.866,2.113,1.455,1.874,0.792,0.682,0.777,0.359,-0.401,-0.415,2.158,-0.255,2.013
"2017",1.919,-1.096,-0.642,0.361,0.214,-1.3,-0.819,-1.949,-1.765,-1.966,-1.407,-0.26,-0.659,-1.037,-0.249,-0.84
"2018",-0.109,0.155,-1.145,-0.393,0.354,0.215,0.211,-0.101,-0.264,-0.269,-0.955,0.06,-0.373,0.058,0.929,0.451
"2019",-1.242,0.375,0.401,-1.206,-0.375,0.843,0.309,-0.767,-0.618,-0.685,-0.599,-1.112,-0.991,-1.624,-0.961,-1.919
"2020",-0.399,1.425,1.225,-0.029,-1.166,-0.355,-0.645,0.451,0.167,0.42,-0.944,-1.96,-1.773,0.259,-0.179,0.129
"2021",-1.199,0.391,-1.074,1.668,-0.75,-0.147,-0.356,0.244,0.518,0.278,1.945,1.128,1.577,0.255,-1.678,-0.464
"2022",1.478,-0.808,1.052,-1.148,-1.259,-2.122,-1.951,-1.076,-1.007,-1.006,1.216,-0.057,0.29,-0.895,2.197,-0.091
"2023",-0.476,-0.92,-0.576,-0.194,0.062,-0.177,-0.127,-0.479,-0.987,-0.605,0.054,0.998,1.011,-0.383,0.234,-0.67
"2024",-0.149,-0.038,1.815,0.178,-1.004,-0.327,-0.642,0.824,0.396,0.762,-0.248,-0.48,-0.35,0.582,-0.306,0.491
"2025",0.634,-1.207,-0.83,-0.542,0.167,0.115,0.226,-0.483,-0.043,-0.353,0.633,0.947,0.858,0.394,-0.206,0.544
"2026",-0.931,-0.102,NA,NA,0.419,0.987,0.904,0.978,1.101,1.044,NA,NA,NA,NA,NA,NA
