"Year","Plot","trt","plantid","Xcoor","Ycoor","Height","No.stems","No.stemsT1","No.panicles","No.paniclesT1","stage","survT","survT1","pflowerT","pflowerT1","first_year_seen","Notes"
2016,"10","drought","10_10G",10,"G",121.5,24,14,13,6,"medium","1","1","1","1",2016,""
2017,"10","drought","10_10G",10,"G",81,14,27,6,0,"medium","1","1","1","0",2016,""
2018,"10","drought","10_10G",10,"G",61,27,18,0,2,"large","1","1","0","1",2016,""
2019,"10","drought","10_10G",10,"G",90,18,28,2,12,"medium","1","1","1","1",2016,""
2020,"10","drought","10_10G",10,"G",144,28,61,12,5,"large","1","1","1","1",2016,""
2021,"10","drought","10_10G",10,"G",145,61,59,5,0,"large","1","1","1","0",2016,"Orange fungus"
2022,"10","drought","10_10G",10,"G",101,59,73,0,0,"large","1","1","0","0",2016,""
2023,"10","drought","10_10G",10,"G",82,73,26,0,1,"large","1","1","0","1",2016,""
2024,"10","drought","10_10G",10,"G",104,26,54,1,2,"large","1","1","1","1",2016,""
2025,"10","drought","10_10G",10,"G",144,54,NA,2,NA,"large","1",NA,"1",NA,2016,"big"
2020,"10","drought","10_10J",10,"J",106,8,22,0,0,"seedling","1","1","0","0",2020,""
2021,"10","drought","10_10J",10,"J",107,22,12,0,0,"medium","1","1","0","0",2020,""
2022,"10","drought","10_10J",10,"J",81,12,5,0,0,"medium","1","1","0","0",2020,""
2023,"10","drought","10_10J",10,"J",83,5,5,0,0,"small","1","1","0","0",2020,""
2024,"10","drought","10_10J",10,"J",97,5,NA,0,NA,"small","1",NA,"0",NA,2020,""
2025,"10","drought","10_10J",10,"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"NP,  vole digging, only found a cut off stem"
2017,"10","drought","10_12I",12,"I",71.5,2,7,1,0,"small","1","1","1","0",2017,"New"
2018,"10","drought","10_12I",12,"I",60.5,7,3,0,0,"small","1","1","0","0",2017,""
2019,"10","drought","10_12I",12,"I",46,3,12,0,1,"small","1","1","0","1",2017,""
2020,"10","drought","10_12I",12,"I",123,12,17,1,4,"medium","1","1","1","1",2017,""
2021,"10","drought","10_12I",12,"I",152,17,16,4,0,"medium","1","1","1","0",2017,""
2022,"10","drought","10_12I",12,"I",84,16,13,0,0,"medium","1","1","0","0",2017,""
2023,"10","drought","10_12I",12,"I",75,13,4,0,1,"medium","1","1","0","1",2017,""
2024,"10","drought","10_12I",12,"I",129,4,5,1,1,"small","1","1","1","1",2017,""
2025,"10","drought","10_12I",12,"I",118,5,NA,1,NA,"small","1",NA,"1",NA,2017,""
2016,"10","drought","10_13B",13,"B",84,3,2,2,1,"small","1","1","1","1",2016,""
2017,"10","drought","10_13B",13,"B",72,2,5,1,0,"small","1","1","1","0",2016,""
2018,"10","drought","10_13B",13,"B",51.5,5,6,0,1,"small","1","1","0","1",2016,""
2019,"10","drought","10_13B",13,"B",67,6,6,1,1,"small","1","1","1","1",2016,""
2020,"10","drought","10_13B",13,"B",114,6,3,1,0,"small","1","1","1","0",2016,""
2021,"10","drought","10_13B",13,"B",58,3,7,0,0,"small","1","1","0","0",2016,""
2022,"10","drought","10_13B",13,"B",86,7,11,0,0,"small","1","1","0","0",2016,""
2023,"10","drought","10_13B",13,"B",76,11,NA,0,NA,"medium","1","0","0",NA,2016,""
2024,"10","drought","10_13B",13,"B",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2016,"lots of thatch, can't tell if NP or if taken over by 15A"
2016,"10","drought","10_13F",13,"F",99,7,6,2,1,"small","1","1","1","1",2016,""
2017,"10","drought","10_13F",13,"F",69,6,15,1,0,"small","1","1","1","0",2016,""
2018,"10","drought","10_13F",13,"F",69,15,NA,0,NA,"medium","1",NA,"0",NA,2016,""
2019,"10","drought","10_13FG",13,"F",127,22,33,5,9,"medium","1","1","1","1",2019,"PROBABLY THE SAME AS 13G"
2020,"10","drought","10_13FG",13,"G",159,33,67,9,7,"large","1","1","1","1",2019,""
2021,"10","drought","10_13FG",13,"G",155,67,49,7,1,"large","1","1","1","1",2019,"13G and 13F are same plant, count as one plant."
2022,"10","drought","10_13FG",13,"F",129.5,49,11,1,0,"large","1","1","1","0",2019,""
2023,"10","drought","10_13FG",13,"F",51,11,9,0,0,"medium","1","1","0","0",2019,""
2024,"10","drought","10_13FG",13,"F",91,9,12,0,0,"medium","1","1","0","0",2019,""
2025,"10","drought","10_13FG",13,"F",68,12,NA,0,NA,"medium","1",NA,"0",NA,2019,""
2016,"10","drought","10_13G",13,"G",120,6,16,6,3,"small","1","1","1","1",2016,""
2017,"10","drought","10_13G",13,"G",96,16,17,3,0,"medium","1","1","1","0",2016,""
