"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","plantid","trt","death_year","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1"
2021,4,1411,6,"G","3",NA,19,0,NA,"","1411_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"3",2,1,1,NA
2022,4,1411,6,"G","3",48,19,2,"SOS","","1411_4","irrigated",NA,"alive",1,"Flowering",1,NA,"4",3,1,1,0
2023,4,1411,6,"G","4",60,18,3,"SOS","","1411_4","irrigated",NA,"alive",1,"Flowering",1,NA,"3",1,1,1,1
2024,4,1411,6,"G","3",37,17,1,"4","","1411_4","irrigated",NA,"alive",1,"Flowering",1,NA,"4",1,1,1,1
2025,4,1411,6,"G","4",38,20,1,"6","","1411_4","irrigated",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,1
2021,5,5022,8,"F","2",NA,12,0,NA,"","2055_5","drought",NA,"alive",1,"Vegetative",0,NA,"3",1,1,1,NA
2022,5,5022,8,"F","3",21,13,1,"3","Tag is 5022","2055_5","drought",NA,"alive",1,"Flowering",1,NA,"1",1,1,1,0
2023,5,5022,8,"F","1",29,14,1,"4","tag is 5022","2055_5","drought",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2024,5,5022,8,"F","2",7,NA,1,"1.5","longest leaf gone; second longest 1cm; tag is 5022","2055_5","drought",NA,"alive",1,"Flowering",1,NA,"1",0,0,1,1
2025,5,5022,8,"F","1",NA,17,0,NA,"tag is 5022","2055_5","drought",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1
2016,14,2107,13,"A","3",NA,6,0,NA,"","2107_14","drought",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,NA
2021,4,2230,10,"J","3",33,19.5,2,"SOS","","2230_4","irrigated",NA,"alive",1,"Flowering",1,NA,"4",3,1,1,NA
2022,4,2230,10,"J","4",36.5,22.5,3,"SOS","","2230_4","irrigated",NA,"alive",1,"Flowering",1,NA,"5",3,1,1,1
2023,4,2230,10,"J","5",49,23,3,"SOS","","2230_4","irrigated",NA,"alive",1,"Flowering",1,NA,"3",0,0,1,1
2024,4,2230,10,"J","3",NA,25,0,NA,"","2230_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"7",3,1,1,1
2025,4,2230,10,"J","7",37.5,25,3,"10.5","","2230_4","irrigated",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,0
2016,14,2928,17,"B","1",NA,7.1,0,NA,"","2928_14","drought",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,NA
2016,5,3001,16,"I","4",NA,8.3,1,"1","","3001_5","drought",2017,"alive",1,"Flowering",1,NA,"0",NA,NA,0,NA
2017,5,3001,16,"I","0",NA,NA,NA,NA,"No plant/dead?","3001_5","drought",2017,"dead",0,"Dead",NA,NA,NA,NA,NA,NA,1
2016,12,3002,3,"B","5",NA,7.4,0,NA,"","3002_12","irrigated",NA,"alive",1,"Vegetative",0,NA,"1",2,1,1,NA
