"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","demo.note","tag.pulled","problem.tag","phenology","plantid","trt","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1","no.seeds","pseeds"
2021,4,1411,6,"G","3",NA,19,0,NA,2021,"",NA,NA,NA,"1411_4","irrigated","alive",1,"Vegetative",0,NA,"3",2,1,1,NA,NA,NA
2022,4,1411,6,"G","3",48,19,2,"12.5",2021,"",NA,NA,NA,"1411_4","irrigated","alive",1,"Flowering",1,NA,"4",3,1,1,0,42,1
2023,4,1411,6,"G","4",60,18,3,"21",2021,"",NA,NA,NA,"1411_4","irrigated","alive",1,"Flowering",1,NA,"3",1,1,1,1,462,1
2024,4,1411,6,"G","3",37,17,1,"4",NA,"",NA,NA,NA,"1411_4","irrigated","alive",1,"Flowering",1,NA,"4",1,1,1,1,96,1
2025,4,1411,6,"G","4",38,20,1,"6",NA,"",NA,NA,1,"1411_4","irrigated","alive",1,"Flowering",1,NA,"7",4,1,1,1,82,1
2026,4,1411,6,"G","7",43,18,4,"18",NA,"",NA,NA,NA,"1411_4","irrigated","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,384,1
2021,5,5022,8,"F","2",NA,12,0,NA,2021,"",NA,NA,NA,"2055_5","drought","alive",1,"Vegetative",0,NA,"3",1,1,1,NA,NA,NA
2022,5,5022,8,"F","3",21,13,1,"3",2021,"Tag is 5022",NA,1,NA,"2055_5","drought","alive",1,"Flowering",1,NA,"1",1,1,1,0,0,0
2023,5,5022,8,"F","1",29,14,1,"4",2021,"tag is 5022",NA,NA,NA,"2055_5","drought","alive",1,"Flowering",1,NA,"2",1,1,1,1,0,0
2024,5,5022,8,"F","2",7,NA,1,"1.5",NA,"longest leaf gone; second longest 1cm; tag is 5022",NA,NA,NA,"2055_5","drought","alive",1,"Flowering",1,NA,"1",0,0,1,1,0,0
