"year","plot","density","densityT1","lambda","total1","total1T1","lambda1","trt","species"
"2021","1",0,12,Inf,1,13,13,"irrigated","Bromus"
"2022","1",12,4,0.333333333333333,13,5,0.384615384615385,"irrigated","Bromus"
"2023","1",4,12,3,5,13,2.6,"irrigated","Bromus"
"2024","1",12,7,0.583333333333333,13,8,0.615384615384615,"irrigated","Bromus"
"2025","1",7,18,2.57142857142857,8,19,2.375,"irrigated","Bromus"
"2026","1",18,NA,NA,19,NA,NA,"irrigated","Bromus"
"2021","10",85,296,3.48235294117647,86,297,3.45348837209302,"drought","Bromus"
"2022","10",296,220,0.743243243243243,297,221,0.744107744107744,"drought","Bromus"
"2023","10",220,128,0.581818181818182,221,129,0.583710407239819,"drought","Bromus"
"2024","10",128,224,1.75,129,225,1.74418604651163,"drought","Bromus"
"2025","10",224,180,0.803571428571429,225,181,0.804444444444444,"drought","Bromus"
"2026","10",180,NA,NA,181,NA,NA,"drought","Bromus"
"2021","11",139,132,0.949640287769784,140,133,0.95,"control","Bromus"
"2022","11",132,32,0.242424242424242,133,33,0.24812030075188,"control","Bromus"
"2023","11",32,28,0.875,33,29,0.878787878787879,"control","Bromus"
"2024","11",28,4,0.142857142857143,29,5,0.172413793103448,"control","Bromus"
"2025","11",4,40,10,5,41,8.2,"control","Bromus"
"2026","11",40,NA,NA,41,NA,NA,"control","Bromus"
"2021","12",0,6,Inf,1,7,7,"irrigated","Bromus"
"2022","12",6,4,0.666666666666667,7,5,0.714285714285714,"irrigated","Bromus"
"2023","12",4,4,1,5,5,1,"irrigated","Bromus"
"2024","12",4,2,0.5,5,3,0.6,"irrigated","Bromus"
"2025","12",2,6,3,3,7,2.33333333333333,"irrigated","Bromus"
"2026","12",6,NA,NA,7,NA,NA,"irrigated","Bromus"
"2021","13",920,292,0.317391304347826,921,293,0.318132464712269,"control","Bromus"
"2022","13",292,93,0.318493150684932,293,94,0.320819112627986,"control","Bromus"
"2023","13",93,208,2.23655913978495,94,209,2.22340425531915,"control","Bromus"
"2024","13",208,144,0.692307692307692,209,145,0.69377990430622,"control","Bromus"
"2025","13",144,61,0.423611111111111,145,62,0.427586206896552,"control","Bromus"
"2026","13",61,NA,NA,62,NA,NA,"control","Bromus"
"2021","14",49,63,1.28571428571429,50,64,1.28,"drought","Bromus"
"2022","14",63,6,0.0952380952380952,64,7,0.109375,"drought","Bromus"
"2023","14",6,29,4.83333333333333,7,30,4.28571428571429,"drought","Bromus"
"2024","14",29,48,1.6551724137931,30,49,1.63333333333333,"drought","Bromus"
"2025","14",48,58,1.20833333333333,49,59,1.20408163265306,"drought","Bromus"
"2026","14",58,NA,NA,59,NA,NA,"drought","Bromus"
"2021","15",304,96,0.315789473684211,305,97,0.318032786885246,"drought","Bromus"
"2022","15",96,35,0.364583333333333,97,36,0.371134020618557,"drought","Bromus"
"2023","15",35,12,0.342857142857143,36,13,0.361111111111111,"drought","Bromus"
"2024","15",12,44,3.66666666666667,13,45,3.46153846153846,"drought","Bromus"
"2025","15",44,216,4.90909090909091,45,217,4.82222222222222,"drought","Bromus"
"2026","15",216,NA,NA,217,NA,NA,"drought","Bromus"
"2021","2",11,12,1.09090909090909,12,13,1.08333333333333,"control","Bromus"
"2022","2",12,45,3.75,13,46,3.53846153846154,"control","Bromus"
"2023","2",45,37,0.822222222222222,46,38,0.826086956521739,"control","Bromus"
"2024","2",37,92,2.48648648648649,38,93,2.44736842105263,"control","Bromus"
"2025","2",92,388,4.21739130434783,93,389,4.18279569892473,"control","Bromus"
"2026","2",388,NA,NA,389,NA,NA,"control","Bromus"
"2021","3",928,552,0.594827586206897,929,553,0.595263724434876,"control","Bromus"
"2022","3",552,260,0.471014492753623,553,261,0.471971066907776,"control","Bromus"
"2023","3",260,276,1.06153846153846,261,277,1.06130268199234,"control","Bromus"
"2024","3",276,32,0.115942028985507,277,33,0.11913357400722,"control","Bromus"
"2025","3",32,44,1.375,33,45,1.36363636363636,"control","Bromus"
"2026","3",44,NA,NA,45,NA,NA,"control","Bromus"
"2021","4",396,308,0.777777777777778,397,309,0.778337531486146,"irrigated","Bromus"
"2022","4",308,272,0.883116883116883,309,273,0.883495145631068,"irrigated","Bromus"
"2023","4",272,56,0.205882352941176,273,57,0.208791208791209,"irrigated","Bromus"
"2024","4",56,68,1.21428571428571,57,69,1.21052631578947,"irrigated","Bromus"
"2025","4",68,40,0.588235294117647,69,41,0.594202898550725,"irrigated","Bromus"
"2026","4",40,NA,NA,41,NA,NA,"irrigated","Bromus"
"2021","5",184,205,1.11413043478261,185,206,1.11351351351351,"drought","Bromus"
"2022","5",205,235,1.14634146341463,206,236,1.14563106796116,"drought","Bromus"
"2023","5",235,68,0.28936170212766,236,69,0.292372881355932,"drought","Bromus"
"2024","5",68,184,2.70588235294118,69,185,2.68115942028985,"drought","Bromus"
"2025","5",184,424,2.30434782608696,185,425,2.2972972972973,"drought","Bromus"
"2026","5",424,NA,NA,425,NA,NA,"drought","Bromus"
"2021","6",888,452,0.509009009009009,889,453,0.509561304836895,"irrigated","Bromus"
"2022","6",452,116,0.256637168141593,453,117,0.258278145695364,"irrigated","Bromus"
"2023","6",116,68,0.586206896551724,117,69,0.58974358974359,"irrigated","Bromus"
"2024","6",68,260,3.82352941176471,69,261,3.78260869565217,"irrigated","Bromus"
"2025","6",260,368,1.41538461538462,261,369,1.41379310344828,"irrigated","Bromus"
"2026","6",368,NA,NA,369,NA,NA,"irrigated","Bromus"
"2021","7",101,99,0.98019801980198,102,100,0.980392156862745,"drought","Bromus"
"2022","7",99,16,0.161616161616162,100,17,0.17,"drought","Bromus"
"2023","7",16,8,0.5,17,9,0.529411764705882,"drought","Bromus"
"2024","7",8,28,3.5,9,29,3.22222222222222,"drought","Bromus"
"2025","7",28,20,0.714285714285714,29,21,0.724137931034483,"drought","Bromus"
"2026","7",20,NA,NA,21,NA,NA,"drought","Bromus"
"2021","8",80,101,1.2625,81,102,1.25925925925926,"control","Bromus"
"2022","8",101,37,0.366336633663366,102,38,0.372549019607843,"control","Bromus"
"2023","8",37,24,0.648648648648649,38,25,0.657894736842105,"control","Bromus"
"2024","8",24,164,6.83333333333333,25,165,6.6,"control","Bromus"
"2025","8",164,20,0.121951219512195,165,21,0.127272727272727,"control","Bromus"
"2026","8",20,NA,NA,21,NA,NA,"control","Bromus"
"2021","9",2,2,1,3,3,1,"irrigated","Bromus"
"2022","9",2,1,0.5,3,2,0.666666666666667,"irrigated","Bromus"
"2023","9",1,1,1,2,2,1,"irrigated","Bromus"
"2024","9",1,12,12,2,13,6.5,"irrigated","Bromus"
"2025","9",12,19,1.58333333333333,13,20,1.53846153846154,"irrigated","Bromus"
"2026","9",19,NA,NA,20,NA,NA,"irrigated","Bromus"
