"year","plot","density","densityT1","lambda","total1","total1T1","lambda1","trt","species"
"2023","1",404,35,0.0866336633663366,405,36,0.0888888888888889,"irrigated","Claytonia"
"2024","1",35,0,0,36,1,0.0277777777777778,"irrigated","Claytonia"
"2025","1",0,16,Inf,1,17,17,"irrigated","Claytonia"
"2026","1",16,NA,NA,17,NA,NA,"irrigated","Claytonia"
"2023","2",236,51,0.216101694915254,237,52,0.219409282700422,"control","Claytonia"
"2024","2",51,0,0,52,1,0.0192307692307692,"control","Claytonia"
"2025","2",0,16,Inf,1,17,17,"control","Claytonia"
"2026","2",16,NA,NA,17,NA,NA,"control","Claytonia"
"2023","5",136,44,0.323529411764706,137,45,0.328467153284672,"drought","Claytonia"
"2024","5",44,0,0,45,1,0.0222222222222222,"drought","Claytonia"
"2025","5",0,10,Inf,1,11,11,"drought","Claytonia"
"2026","5",10,NA,NA,11,NA,NA,"drought","Claytonia"
"2023","4",60,32,0.533333333333333,61,33,0.540983606557377,"irrigated","Claytonia"
"2024","4",32,3,0.09375,33,4,0.121212121212121,"irrigated","Claytonia"
"2025","4",3,16,5.33333333333333,4,17,4.25,"irrigated","Claytonia"
"2026","4",16,NA,NA,17,NA,NA,"irrigated","Claytonia"
"2023","3",84,35,0.416666666666667,85,36,0.423529411764706,"control","Claytonia"
"2024","3",35,10,0.285714285714286,36,11,0.305555555555556,"control","Claytonia"
"2025","3",10,6,0.6,11,7,0.636363636363636,"control","Claytonia"
"2026","3",6,NA,NA,7,NA,NA,"control","Claytonia"
"2023","7",104,64,0.615384615384615,105,65,0.619047619047619,"drought","Claytonia"
"2024","7",64,19,0.296875,65,20,0.307692307692308,"drought","Claytonia"
"2025","7",19,52,2.73684210526316,20,53,2.65,"drought","Claytonia"
"2026","7",52,NA,NA,53,NA,NA,"drought","Claytonia"
"2023","6",88,84,0.954545454545455,89,85,0.955056179775281,"irrigated","Claytonia"
"2024","6",84,4,0.0476190476190476,85,5,0.0588235294117647,"irrigated","Claytonia"
"2025","6",4,36,9,5,37,7.4,"irrigated","Claytonia"
"2026","6",36,NA,NA,37,NA,NA,"irrigated","Claytonia"
"2023","8",84,45,0.535714285714286,85,46,0.541176470588235,"control","Claytonia"
"2024","8",45,10,0.222222222222222,46,11,0.239130434782609,"control","Claytonia"
"2025","8",10,38,3.8,11,39,3.54545454545455,"control","Claytonia"
"2026","8",38,NA,NA,39,NA,NA,"control","Claytonia"
"2023","10",52,48,0.923076923076923,53,49,0.924528301886792,"drought","Claytonia"
"2024","10",48,0,0,49,1,0.0204081632653061,"drought","Claytonia"
"2025","10",0,32,Inf,1,33,33,"drought","Claytonia"
"2026","10",32,NA,NA,33,NA,NA,"drought","Claytonia"
"2023","9",0,16,Inf,1,17,17,"irrigated","Claytonia"
"2024","9",16,29,1.8125,17,30,1.76470588235294,"irrigated","Claytonia"
"2025","9",29,13,0.448275862068966,30,14,0.466666666666667,"irrigated","Claytonia"
"2026","9",13,NA,NA,14,NA,NA,"irrigated","Claytonia"
"2023","11",8,22,2.75,9,23,2.55555555555556,"control","Claytonia"
"2024","11",22,0,0,23,1,0.0434782608695652,"control","Claytonia"
"2025","11",0,10,Inf,1,11,11,"control","Claytonia"
"2026","11",10,NA,NA,11,NA,NA,"control","Claytonia"
"2023","14",144,168,1.16666666666667,145,169,1.16551724137931,"drought","Claytonia"
"2024","14",168,0,0,169,1,0.00591715976331361,"drought","Claytonia"
"2025","14",0,10,Inf,1,11,11,"drought","Claytonia"
"2026","14",10,NA,NA,11,NA,NA,"drought","Claytonia"
"2023","12",0,0,NA,1,1,1,"irrigated","Claytonia"
"2024","12",0,0,NA,1,1,1,"irrigated","Claytonia"
"2025","12",0,13,Inf,1,14,14,"irrigated","Claytonia"
"2026","12",13,NA,NA,14,NA,NA,"irrigated","Claytonia"
"2023","13",256,312,1.21875,257,313,1.21789883268482,"control","Claytonia"
"2024","13",312,0,0,313,1,0.00319488817891374,"control","Claytonia"
"2025","13",0,48,Inf,1,49,49,"control","Claytonia"
"2026","13",48,NA,NA,49,NA,NA,"control","Claytonia"
"2023","15",20,42,2.1,21,43,2.04761904761905,"drought","Claytonia"
"2024","15",42,3,0.0714285714285714,43,4,0.0930232558139535,"drought","Claytonia"
"2025","15",3,42,14,4,43,10.75,"drought","Claytonia"
"2026","15",42,NA,NA,43,NA,NA,"drought","Claytonia"
