"year","plot","density","densityT1","lambda","total1","total1T1","lambda1","trt","species"
"2016","1",0,1,Inf,1,2,2,"irrigated","Plectritis"
"2017","1",1,32,32,2,33,16.5,"irrigated","Plectritis"
"2018","1",32,48,1.5,33,49,1.48484848484848,"irrigated","Plectritis"
"2019","1",48,60,1.25,49,61,1.24489795918367,"irrigated","Plectritis"
"2020","1",60,548,9.13333333333333,61,549,9,"irrigated","Plectritis"
"2021","1",548,308,0.562043795620438,549,309,0.562841530054645,"irrigated","Plectritis"
"2022","1",308,272,0.883116883116883,309,273,0.883495145631068,"irrigated","Plectritis"
"2023","1",272,504,1.85294117647059,273,505,1.84981684981685,"irrigated","Plectritis"
"2024","1",504,268,0.531746031746032,505,269,0.532673267326733,"irrigated","Plectritis"
"2025","1",268,256,0.955223880597015,269,257,0.955390334572491,"irrigated","Plectritis"
"2026","1",256,NA,NA,257,NA,NA,"irrigated","Plectritis"
"2016","10",0,0,NA,1,1,1,"drought","Plectritis"
"2017","10",0,3,Inf,1,4,4,"drought","Plectritis"
"2018","10",3,10,3.33333333333333,4,11,2.75,"drought","Plectritis"
"2019","10",10,14,1.4,11,15,1.36363636363636,"drought","Plectritis"
"2020","10",14,34,2.42857142857143,15,35,2.33333333333333,"drought","Plectritis"
"2021","10",34,18,0.529411764705882,35,19,0.542857142857143,"drought","Plectritis"
"2022","10",18,38,2.11111111111111,19,39,2.05263157894737,"drought","Plectritis"
"2023","10",38,23,0.605263157894737,39,24,0.615384615384615,"drought","Plectritis"
"2024","10",23,10,0.434782608695652,24,11,0.458333333333333,"drought","Plectritis"
"2025","10",10,20,2,11,21,1.90909090909091,"drought","Plectritis"
"2026","10",20,NA,NA,21,NA,NA,"drought","Plectritis"
"2016","11",0,3,Inf,1,4,4,"control","Plectritis"
"2017","11",3,6,2,4,7,1.75,"control","Plectritis"
"2018","11",6,10,1.66666666666667,7,11,1.57142857142857,"control","Plectritis"
"2019","11",10,14,1.4,11,15,1.36363636363636,"control","Plectritis"
"2020","11",14,32,2.28571428571429,15,33,2.2,"control","Plectritis"
"2021","11",32,5,0.15625,33,6,0.181818181818182,"control","Plectritis"
"2022","11",5,14,2.8,6,15,2.5,"control","Plectritis"
"2023","11",14,14,1,15,15,1,"control","Plectritis"
"2024","11",14,20,1.42857142857143,15,21,1.4,"control","Plectritis"
"2025","11",20,30,1.5,21,31,1.47619047619048,"control","Plectritis"
"2026","11",30,NA,NA,31,NA,NA,"control","Plectritis"
"2016","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2017","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2018","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2019","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2020","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2021","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2022","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2023","12",0,1,Inf,1,2,2,"irrigated","Plectritis"
"2024","12",1,0,0,2,1,0.5,"irrigated","Plectritis"
"2025","12",0,0,NA,1,1,1,"irrigated","Plectritis"
"2026","12",0,NA,NA,1,NA,NA,"irrigated","Plectritis"
"2016","13",0,4,Inf,1,5,5,"control","Plectritis"
"2017","13",4,6,1.5,5,7,1.4,"control","Plectritis"
"2018","13",6,8,1.33333333333333,7,9,1.28571428571429,"control","Plectritis"
"2019","13",8,21,2.625,9,22,2.44444444444444,"control","Plectritis"
"2020","13",21,25,1.19047619047619,22,26,1.18181818181818,"control","Plectritis"
"2021","13",25,11,0.44,26,12,0.461538461538462,"control","Plectritis"
"2022","13",11,26,2.36363636363636,12,27,2.25,"control","Plectritis"
"2023","13",26,105,4.03846153846154,27,106,3.92592592592593,"control","Plectritis"
"2024","13",105,127,1.20952380952381,106,128,1.20754716981132,"control","Plectritis"
"2025","13",127,58,0.456692913385827,128,59,0.4609375,"control","Plectritis"
"2026","13",58,NA,NA,59,NA,NA,"control","Plectritis"
"2016","14",0,0,NA,1,1,1,"drought","Plectritis"
"2017","14",0,0,NA,1,1,1,"drought","Plectritis"
"2018","14",0,0,NA,1,1,1,"drought","Plectritis"
