"trt","scenario","stochastic_lambda","lower_CI","upper_CI"
"control","current",1.28458612271471,1.23931289973963,1.33144245954634
"control","future",0.926385100774341,0.901864871952824,0.952137588718964
"control","future.precip",1.2841925706865,1.23895480435754,1.33148414549856
"control","future.temp",0.926378152900289,0.901454016958413,0.952049579578034
"drought","current",1.17246605350799,1.13682011490006,1.20989681027436
"drought","future",0.87775657084941,0.858563990896284,0.898798902672504
"drought","future.precip",1.17225441368338,1.13731831976473,1.20883821224826
"drought","future.temp",0.877981341134467,0.858284290410473,0.899107568694307
"irrigated","current",1.23769352439121,1.19716029716868,1.2800240154578
"irrigated","future",0.916937829634963,0.893600391556331,0.941699171348659
"irrigated","future.precip",1.23786376704065,1.19763321554823,1.28096487937435
"irrigated","future.temp",0.917096339346046,0.89401769805695,0.94180318474565
