"trt","scenario","stochastic_lambda","lower_CI","upper_CI"
"control","current",1.09916037037122,1.09199894016545,1.10618194147856
"control","future",1.06256983794765,1.05640188564237,1.06869346998713
"control","future.precip",1.09910804307327,1.09215496101642,1.10613741923005
"control","future.temp",1.06260424071258,1.05633882845002,1.06873056394044
"drought","current",1.09863567521669,1.09175744749303,1.10560887475924
"drought","future",1.06239690616241,1.05624667879677,1.06843878427585
"drought","future.precip",1.09855997428239,1.09161587812484,1.10565341759667
"drought","future.temp",1.06242184185749,1.05621933751206,1.06853874562774
"irrigated","current",1.09913931634494,1.09204032991169,1.10608479932821
"irrigated","future",1.06259181385485,1.05646465022171,1.0689070718376
"irrigated","future.precip",1.09908217864656,1.09204416299401,1.10624867199537
"irrigated","future.temp",1.06258517346112,1.05648212462335,1.06880124917325
